001 0300 001.460938
001 0300 001.406250
001 0300 001.421875
001 0300 001.445312
001 0300 001.468750
002 0300 001.085938
002 0300 001.078125
002 0300 001.132812
002 0300 001.046875
002 0300 001.093750
004 0300 000.765625
004 0300 000.804688
004 0300 000.773438
004 0300 000.750000
004 0300 000.789062
006 0300 000.710938
006 0300 000.671875
006 0300 000.726562
006 0300 000.742188
006 0300 000.937500
008 0300 001.234375
008 0300 001.390625
008 0300 001.265625
008 0300 001.109375
008 0300 001.164062
010 0300 001.921875
010 0300 001.906250
010 0300 001.898438
010 0300 001.906250
010 0300 001.921875
012 0300 002.007812
012 0300 001.984375
012 0300 001.976562
012 0300 001.984375
012 0300 001.976562
014 0300 002.070312
014 0300 002.148438
014 0300 002.101562
014 0300 002.070312
014 0300 002.093750
016 0300 002.210938
016 0300 002.226562
016 0300 002.210938
016 0300 002.187500
016 0300 002.171875
020 0300 002.460938
020 0300 002.492188
020 0300 002.554688
020 0300 002.437500
020 0300 002.421875
024 0300 002.695312
024 0300 002.710938
024 0300 002.710938
024 0300 002.656250
024 0300 002.656250
028 0300 002.906250
028 0300 002.929688
028 0300 002.898438
028 0300 002.929688
028 0300 002.929688
032 0300 003.210938
032 0300 003.218750
032 0300 003.187500
032 0300 003.273438
032 0300 003.234375
064 0300 004.937500
064 0300 005.007812
064 0300 005.171875
064 0300 005.109375
064 0300 004.898438
128 0300 007.960938
128 0300 007.890625
128 0300 008.031250
128 0300 008.023438
128 0300 007.906250
