0010 000.738770
0010 000.036621
0010 000.030762
0010 000.029785
0010 000.035645
0050 000.031006
0050 000.032959
0050 000.045898
0050 000.032959
0050 000.034912
0100 000.131104
0100 000.076416
0100 000.067871
0100 000.069580
0100 000.066406
0200 000.522217
0200 000.420410
0200 000.376221
0200 000.362061
0200 000.318848
0300 000.859863
0300 001.533936
0300 000.880615
0300 000.768555
0300 000.553467
0400 001.251709
0400 002.377686
0400 001.251221
0400 001.255371
0400 001.293457
0500 002.075439
0500 002.438477
0500 001.789551
0500 002.027344
0500 001.995850
0600 002.988770
0600 002.958740
0600 002.529785
0600 002.424316
0600 002.258301
0700 002.990479
0700 003.126709
0700 003.385254
0700 003.570068
0700 003.606689
0800 005.308594
0800 005.162354
0800 005.179199
0800 007.196045
0800 006.751709
0900 007.798828
0900 008.123047
0900 007.440430
0900 006.652588
0900 006.857178
1000 010.066406
1000 010.071289
1000 009.871826
1000 008.983643
1000 009.180420
